head	relation	tail
usa	prefers_relation	relintergovorgs
usa	prefers_relation	relngo
usa	prefers_relation	tourism3
usa	corrects_failure	netherlands
usa	penalizes_entity	ussr
usa	failure_type	resolved
poland	prefers_relation	commonbloc1
poland	prefers_relation	relintergovorgs
poland	prefers_relation	unweightedunvote
poland	corrects_failure	india
poland	penalizes_entity	usa
poland	failure_type	resolved
india	corrects_failure	cuba
india	penalizes_entity	usa
india	failure_type	structural_gap
cuba	prefers_relation	commonbloc1
cuba	prefers_relation	embassy
cuba	prefers_relation	reldiplomacy
cuba	prefers_relation	unweightedunvote
cuba	corrects_failure	israel
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	commonbloc0
uk	prefers_relation	conferences
uk	corrects_failure	cuba
uk	penalizes_entity	egypt
uk	failure_type	resolved
indonesia	prefers_relation	relngo
indonesia	prefers_relation	relstudents
indonesia	corrects_failure	egypt
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	corrects_failure	indonesia
uk	penalizes_entity	usa
uk	failure_type	similarity_confusion
cuba	corrects_failure	ussr
cuba	penalizes_entity	china
cuba	failure_type	resolved
netherlands	prefers_relation	blockpositionindex
netherlands	prefers_relation	booktranslations
netherlands	prefers_relation	independence
netherlands	prefers_relation	timesinceally
netherlands	prefers_relation	treaties
netherlands	corrects_failure	ussr
netherlands	penalizes_entity	israel
netherlands	failure_type	resolved
brazil	prefers_relation	blockpositionindex
brazil	prefers_relation	commonbloc0
brazil	prefers_relation	intergovorgs3
brazil	corrects_failure	cuba
brazil	penalizes_entity	usa
brazil	failure_type	resolved
israel	prefers_relation	commonbloc2
israel	prefers_relation	unweightedunvote
israel	corrects_failure	egypt
israel	penalizes_entity	usa
israel	failure_type	resolved
egypt	prefers_relation	independence
egypt	prefers_relation	reldiplomacy
egypt	corrects_failure	cuba
egypt	penalizes_entity	usa
egypt	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	prefers_relation	intergovorgs
netherlands	corrects_failure	india
netherlands	penalizes_entity	poland
netherlands	failure_type	resolved
usa	prefers_relation	intergovorgs
usa	prefers_relation	militaryalliance
usa	prefers_relation	negativebehavior
usa	prefers_relation	negativecomm
usa	prefers_relation	pprotests
usa	corrects_failure	indonesia
usa	penalizes_entity	egypt
usa	failure_type	resolved
ussr	prefers_relation	conferences
ussr	prefers_relation	ngoorgs3
ussr	corrects_failure	brazil
ussr	penalizes_entity	usa
ussr	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	commonbloc1
usa	prefers_relation	economicaid
usa	prefers_relation	intergovorgs3
usa	prefers_relation	militaryalliance
usa	prefers_relation	ngoorgs3
usa	prefers_relation	releconomicaid
usa	prefers_relation	relngo
usa	corrects_failure	israel
usa	penalizes_entity	ussr
usa	failure_type	structural_gap
egypt	prefers_relation	reldiplomacy
egypt	corrects_failure	brazil
egypt	penalizes_entity	usa
egypt	failure_type	resolved
india	corrects_failure	brazil
india	penalizes_entity	usa
india	failure_type	both_failed
china	corrects_failure	brazil
china	penalizes_entity	usa
china	failure_type	both_failed
burma	corrects_failure	brazil
burma	penalizes_entity	poland
burma	failure_type	both_failed
israel	prefers_relation	commonbloc2
israel	corrects_failure	india
israel	penalizes_entity	uk
israel	failure_type	resolved
indonesia	prefers_relation	dependent
indonesia	prefers_relation	relbooktranslations
indonesia	prefers_relation	relngo
indonesia	prefers_relation	timesincewar
indonesia	corrects_failure	netherlands
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	commonbloc1
usa	prefers_relation	economicaid
usa	prefers_relation	intergovorgs3
usa	prefers_relation	weightedunvote
usa	corrects_failure	egypt
usa	penalizes_entity	ussr
usa	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	boycottembargo
usa	prefers_relation	economicaid
usa	prefers_relation	embassy
usa	prefers_relation	officialvisits
usa	prefers_relation	releconomicaid
usa	corrects_failure	egypt
usa	penalizes_entity	uk
usa	failure_type	resolved
burma	prefers_relation	commonbloc2
burma	corrects_failure	indonesia
burma	penalizes_entity	uk
burma	failure_type	resolved
egypt	prefers_relation	embassy
egypt	corrects_failure	brazil
egypt	penalizes_entity	uk
egypt	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	independence
usa	prefers_relation	relintergovorgs
usa	corrects_failure	brazil
usa	penalizes_entity	india
usa	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	corrects_failure	indonesia
netherlands	penalizes_entity	ussr
netherlands	failure_type	similarity_confusion
burma	prefers_relation	booktranslations
burma	prefers_relation	commonbloc1
burma	corrects_failure	usa
burma	penalizes_entity	india
burma	failure_type	resolved
india	prefers_relation	commonbloc2
india	corrects_failure	israel
india	penalizes_entity	uk
india	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	prefers_relation	intergovorgs
netherlands	prefers_relation	timesinceally
netherlands	prefers_relation	treaties
netherlands	prefers_relation	weightedunvote
netherlands	corrects_failure	india
netherlands	penalizes_entity	usa
netherlands	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	economicaid
uk	prefers_relation	releconomicaid
uk	corrects_failure	jordan
uk	penalizes_entity	usa
uk	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	timesincewar
usa	corrects_failure	cuba
usa	penalizes_entity	ussr
usa	failure_type	similarity_confusion
israel	prefers_relation	commonbloc2
israel	corrects_failure	egypt
israel	penalizes_entity	uk
israel	failure_type	resolved
egypt	prefers_relation	dependent
egypt	prefers_relation	expeldiplomats
egypt	prefers_relation	independence
egypt	prefers_relation	ngoorgs3
egypt	prefers_relation	reldiplomacy
egypt	prefers_relation	severdiplomatic
egypt	prefers_relation	timesincewar
egypt	prefers_relation	unweightedunvote
egypt	corrects_failure	uk
egypt	penalizes_entity	usa
egypt	failure_type	resolved
ussr	prefers_relation	conferences
ussr	prefers_relation	ngoorgs3
ussr	corrects_failure	brazil
ussr	penalizes_entity	usa
ussr	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	intergovorgs3
usa	prefers_relation	timesincewar
usa	corrects_failure	cuba
usa	penalizes_entity	ussr
usa	failure_type	resolved
egypt	prefers_relation	commonbloc2
egypt	prefers_relation	ngoorgs3
egypt	prefers_relation	timesincewar
egypt	prefers_relation	unweightedunvote
egypt	corrects_failure	israel
egypt	penalizes_entity	usa
egypt	failure_type	resolved
china	prefers_relation	intergovorgs3
china	prefers_relation	negativecomm
china	prefers_relation	pprotests
china	prefers_relation	reldiplomacy
china	prefers_relation	relexports
china	corrects_failure	uk
china	penalizes_entity	usa
china	failure_type	resolved
ussr	prefers_relation	blockpositionindex
ussr	corrects_failure	netherlands
ussr	penalizes_entity	uk
ussr	failure_type	resolved
netherlands	prefers_relation	intergovorgs
netherlands	prefers_relation	treaties
netherlands	corrects_failure	india
netherlands	penalizes_entity	egypt
netherlands	failure_type	resolved
cuba	prefers_relation	boycottembargo
cuba	prefers_relation	exports3
cuba	prefers_relation	reldiplomacy
cuba	prefers_relation	unweightedunvote
cuba	corrects_failure	uk
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	timesinceally
uk	prefers_relation	unweightedunvote
uk	corrects_failure	brazil
uk	penalizes_entity	usa
uk	failure_type	resolved
egypt	prefers_relation	commonbloc2
egypt	corrects_failure	burma
egypt	penalizes_entity	usa
egypt	failure_type	resolved
netherlands	prefers_relation	blockpositionindex
netherlands	prefers_relation	booktranslations
netherlands	prefers_relation	intergovorgs
netherlands	prefers_relation	treaties
netherlands	prefers_relation	unweightedunvote
netherlands	corrects_failure	ussr
netherlands	penalizes_entity	egypt
netherlands	failure_type	resolved
poland	prefers_relation	dependent
poland	prefers_relation	exports3
poland	prefers_relation	lostterritory
poland	prefers_relation	militaryalliance
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	prefers_relation	timesincewar
poland	prefers_relation	tourism
poland	corrects_failure	ussr
poland	penalizes_entity	usa
poland	failure_type	resolved
israel	prefers_relation	embassy
israel	prefers_relation	intergovorgs3
israel	prefers_relation	ngoorgs3
israel	prefers_relation	weightedunvote
israel	corrects_failure	netherlands
israel	penalizes_entity	usa
israel	failure_type	resolved
jordan	prefers_relation	blockpositionindex
jordan	prefers_relation	eemigrants
jordan	prefers_relation	relbooktranslations
jordan	prefers_relation	weightedunvote
jordan	corrects_failure	usa
jordan	penalizes_entity	egypt
jordan	failure_type	resolved
indonesia	prefers_relation	severdiplomatic
indonesia	corrects_failure	cuba
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
jordan	corrects_failure	brazil
jordan	penalizes_entity	uk
jordan	failure_type	structural_gap
ussr	prefers_relation	commonbloc2
ussr	prefers_relation	officialvisits
ussr	prefers_relation	reldiplomacy
ussr	corrects_failure	china
ussr	penalizes_entity	usa
ussr	failure_type	resolved
burma	prefers_relation	exports3
burma	prefers_relation	officialvisits
burma	prefers_relation	relexports
burma	corrects_failure	china
burma	penalizes_entity	usa
burma	failure_type	resolved
usa	prefers_relation	intergovorgs
usa	prefers_relation	militaryalliance
usa	prefers_relation	ngoorgs3
usa	prefers_relation	relngo
usa	prefers_relation	reltourism
usa	prefers_relation	tourism
usa	corrects_failure	israel
usa	penalizes_entity	egypt
usa	failure_type	resolved
india	prefers_relation	relexports
india	corrects_failure	egypt
india	penalizes_entity	uk
india	failure_type	resolved
israel	corrects_failure	brazil
israel	penalizes_entity	uk
israel	failure_type	both_failed
burma	prefers_relation	blockpositionindex
burma	corrects_failure	ussr
burma	penalizes_entity	uk
burma	failure_type	resolved
indonesia	prefers_relation	commonbloc2
indonesia	prefers_relation	relngo
indonesia	corrects_failure	india
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	exportbooks
usa	prefers_relation	intergovorgs3
usa	prefers_relation	relexportbooks
usa	prefers_relation	relexports
usa	prefers_relation	relintergovorgs
usa	prefers_relation	relngo
usa	prefers_relation	tourism3
usa	corrects_failure	netherlands
usa	penalizes_entity	ussr
usa	failure_type	resolved
israel	prefers_relation	embassy
israel	prefers_relation	unweightedunvote
israel	prefers_relation	weightedunvote
israel	corrects_failure	cuba
israel	penalizes_entity	usa
israel	failure_type	resolved
burma	corrects_failure	india
burma	penalizes_entity	india
burma	failure_type	structural_gap
china	corrects_failure	burma
china	penalizes_entity	egypt
china	failure_type	both_failed
uk	prefers_relation	conferences
uk	prefers_relation	exports3
uk	prefers_relation	relngo
uk	prefers_relation	timesinceally
uk	prefers_relation	unweightedunvote
uk	corrects_failure	netherlands
uk	penalizes_entity	usa
uk	failure_type	resolved
netherlands	prefers_relation	blockpositionindex
netherlands	corrects_failure	china
netherlands	penalizes_entity	egypt
netherlands	failure_type	resolved
jordan	prefers_relation	commonbloc1
jordan	prefers_relation	weightedunvote
jordan	corrects_failure	netherlands
jordan	penalizes_entity	egypt
jordan	failure_type	resolved
india	prefers_relation	unweightedunvote
india	corrects_failure	poland
india	penalizes_entity	usa
india	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	commonbloc1
usa	prefers_relation	militaryalliance
usa	corrects_failure	indonesia
usa	penalizes_entity	ussr
usa	failure_type	resolved
usa	prefers_relation	booktranslations
usa	prefers_relation	embassy
usa	prefers_relation	tourism
usa	corrects_failure	netherlands
usa	penalizes_entity	uk
usa	failure_type	similarity_confusion
cuba	prefers_relation	commonbloc2
cuba	prefers_relation	embassy
cuba	prefers_relation	exports3
cuba	prefers_relation	independence
cuba	prefers_relation	relexports
cuba	prefers_relation	timesinceally
cuba	corrects_failure	china
cuba	penalizes_entity	india
cuba	failure_type	resolved
egypt	prefers_relation	commonbloc1
egypt	prefers_relation	embassy
egypt	prefers_relation	exports3
egypt	prefers_relation	relexports
egypt	corrects_failure	china
egypt	penalizes_entity	uk
egypt	failure_type	structural_gap
usa	prefers_relation	blockpositionindex
usa	prefers_relation	commonbloc1
usa	prefers_relation	economicaid
usa	prefers_relation	embassy
usa	prefers_relation	militaryalliance
usa	prefers_relation	negativebehavior
usa	prefers_relation	ngoorgs3
usa	prefers_relation	officialvisits
usa	prefers_relation	releconomicaid
usa	prefers_relation	tourism
usa	corrects_failure	india
usa	penalizes_entity	uk
usa	failure_type	resolved
usa	prefers_relation	booktranslations
usa	prefers_relation	conferences
usa	prefers_relation	intergovorgs
usa	prefers_relation	negativebehavior
usa	prefers_relation	negativecomm
usa	prefers_relation	nonviolentbehavior
usa	prefers_relation	timesincewar
usa	corrects_failure	cuba
usa	penalizes_entity	egypt
usa	failure_type	similarity_confusion
usa	prefers_relation	commonbloc2
usa	prefers_relation	economicaid
usa	prefers_relation	exportbooks
usa	prefers_relation	intergovorgs3
usa	prefers_relation	militaryalliance
usa	prefers_relation	releconomicaid
usa	prefers_relation	relexportbooks
usa	prefers_relation	relintergovorgs
usa	prefers_relation	relngo
usa	corrects_failure	brazil
usa	penalizes_entity	ussr
usa	failure_type	resolved
egypt	prefers_relation	embassy
egypt	corrects_failure	brazil
egypt	penalizes_entity	uk
egypt	failure_type	resolved
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	prefers_relation	unweightedunvote
poland	corrects_failure	netherlands
poland	penalizes_entity	usa
poland	failure_type	resolved
india	prefers_relation	accusation
india	prefers_relation	duration
india	prefers_relation	timesincewar
india	prefers_relation	violentactions
india	corrects_failure	china
india	penalizes_entity	usa
india	failure_type	resolved
burma	corrects_failure	israel
burma	penalizes_entity	india
burma	failure_type	structural_gap
indonesia	prefers_relation	dependent
indonesia	prefers_relation	relbooktranslations
indonesia	prefers_relation	relngo
indonesia	prefers_relation	timesincewar
indonesia	corrects_failure	netherlands
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
egypt	prefers_relation	independence
egypt	prefers_relation	reldiplomacy
egypt	corrects_failure	ussr
egypt	penalizes_entity	usa
egypt	failure_type	resolved
egypt	prefers_relation	commonbloc1
egypt	corrects_failure	netherlands
egypt	penalizes_entity	uk
egypt	failure_type	structural_gap
indonesia	corrects_failure	india
indonesia	penalizes_entity	india
indonesia	failure_type	both_failed
egypt	prefers_relation	commonbloc2
egypt	prefers_relation	embassy
egypt	corrects_failure	indonesia
egypt	penalizes_entity	uk
egypt	failure_type	resolved
netherlands	corrects_failure	china
netherlands	penalizes_entity	poland
netherlands	failure_type	resolved
netherlands	prefers_relation	commonbloc1
netherlands	prefers_relation	timesincewar
netherlands	corrects_failure	indonesia
netherlands	penalizes_entity	uk
netherlands	failure_type	resolved
burma	prefers_relation	commonbloc2
burma	prefers_relation	embassy
burma	prefers_relation	intergovorgs
burma	prefers_relation	officialvisits
burma	prefers_relation	reldiplomacy
burma	prefers_relation	relintergovorgs
burma	corrects_failure	india
burma	penalizes_entity	ussr
burma	failure_type	resolved
burma	corrects_failure	israel
burma	penalizes_entity	usa
burma	failure_type	structural_gap
egypt	prefers_relation	independence
egypt	prefers_relation	reldiplomacy
egypt	corrects_failure	ussr
egypt	penalizes_entity	usa
egypt	failure_type	resolved
israel	prefers_relation	relngo
israel	prefers_relation	unweightedunvote
israel	corrects_failure	brazil
israel	penalizes_entity	usa
israel	failure_type	resolved
india	prefers_relation	blockpositionindex
india	prefers_relation	commonbloc1
india	corrects_failure	ussr
india	penalizes_entity	egypt
india	failure_type	similarity_confusion
ussr	prefers_relation	booktranslations
ussr	prefers_relation	commonbloc2
ussr	prefers_relation	conferences
ussr	prefers_relation	ngo
ussr	prefers_relation	ngoorgs3
ussr	prefers_relation	reldiplomacy
ussr	prefers_relation	releconomicaid
ussr	prefers_relation	relexports
ussr	prefers_relation	reltourism
ussr	prefers_relation	timesincewar
ussr	prefers_relation	tourism
ussr	prefers_relation	tourism3
ussr	corrects_failure	poland
ussr	penalizes_entity	usa
ussr	failure_type	resolved
china	prefers_relation	commonbloc1
china	prefers_relation	intergovorgs3
china	prefers_relation	officialvisits
china	prefers_relation	releconomicaid
china	prefers_relation	treaties
china	corrects_failure	egypt
china	penalizes_entity	ussr
china	failure_type	resolved
burma	prefers_relation	commonbloc1
burma	corrects_failure	china
burma	penalizes_entity	india
burma	failure_type	similarity_confusion
poland	prefers_relation	commonbloc1
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	corrects_failure	israel
poland	penalizes_entity	usa
poland	failure_type	resolved
indonesia	prefers_relation	severdiplomatic
indonesia	corrects_failure	cuba
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
jordan	prefers_relation	accusation
jordan	prefers_relation	commonbloc2
jordan	prefers_relation	duration
jordan	prefers_relation	militaryactions
jordan	prefers_relation	negativebehavior
jordan	prefers_relation	negativecomm
jordan	prefers_relation	ngoorgs3
jordan	prefers_relation	pprotests
jordan	prefers_relation	relngo
jordan	prefers_relation	timesincewar
jordan	prefers_relation	violentactions
jordan	corrects_failure	israel
jordan	penalizes_entity	usa
jordan	failure_type	resolved
usa	prefers_relation	blockpositionindex
usa	prefers_relation	duration
usa	prefers_relation	exportbooks
usa	prefers_relation	militaryactions
usa	prefers_relation	timesincewar
usa	prefers_relation	violentactions
usa	corrects_failure	china
usa	penalizes_entity	ussr
usa	failure_type	structural_gap
netherlands	corrects_failure	burma
netherlands	penalizes_entity	india
netherlands	failure_type	both_failed
jordan	prefers_relation	commonbloc2
jordan	prefers_relation	conferences
jordan	prefers_relation	intergovorgs3
jordan	prefers_relation	ngoorgs3
jordan	prefers_relation	reldiplomacy
jordan	prefers_relation	relngo
jordan	prefers_relation	reltourism
jordan	prefers_relation	reltreaties
jordan	prefers_relation	timesinceally
jordan	prefers_relation	tourism
jordan	prefers_relation	tourism3
jordan	corrects_failure	egypt
jordan	penalizes_entity	usa
jordan	failure_type	resolved
india	prefers_relation	accusation
india	prefers_relation	duration
india	prefers_relation	timesincewar
india	prefers_relation	violentactions
india	corrects_failure	china
india	penalizes_entity	usa
india	failure_type	resolved
indonesia	prefers_relation	accusation
indonesia	prefers_relation	commonbloc1
indonesia	prefers_relation	duration
indonesia	prefers_relation	exports3
indonesia	prefers_relation	negativebehavior
indonesia	prefers_relation	nonviolentbehavior
indonesia	prefers_relation	officialvisits
indonesia	prefers_relation	reldiplomacy
indonesia	prefers_relation	relexports
indonesia	prefers_relation	students
indonesia	prefers_relation	unoffialacts
indonesia	prefers_relation	violentactions
indonesia	corrects_failure	china
indonesia	penalizes_entity	egypt
indonesia	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	eemigrants
usa	prefers_relation	emigrants3
usa	prefers_relation	independence
usa	prefers_relation	relintergovorgs
usa	prefers_relation	relstudents
usa	prefers_relation	reltourism
usa	prefers_relation	students
usa	prefers_relation	tourism3
usa	prefers_relation	unweightedunvote
usa	corrects_failure	uk
usa	penalizes_entity	india
usa	failure_type	resolved
indonesia	prefers_relation	negativebehavior
indonesia	prefers_relation	nonviolentbehavior
indonesia	prefers_relation	reldiplomacy
indonesia	prefers_relation	severdiplomatic
indonesia	corrects_failure	cuba
indonesia	penalizes_entity	uk
indonesia	failure_type	resolved
china	prefers_relation	accusation
china	prefers_relation	economicaid
china	prefers_relation	negativebehavior
china	prefers_relation	pprotests
china	corrects_failure	indonesia
china	penalizes_entity	egypt
china	failure_type	similarity_confusion
burma	corrects_failure	egypt
burma	penalizes_entity	uk
burma	failure_type	both_failed
china	corrects_failure	brazil
china	penalizes_entity	usa
china	failure_type	both_failed
jordan	corrects_failure	cuba
jordan	penalizes_entity	uk
jordan	failure_type	structural_gap
cuba	prefers_relation	commonbloc1
cuba	prefers_relation	embassy
cuba	prefers_relation	reltreaties
cuba	corrects_failure	egypt
cuba	penalizes_entity	uk
cuba	failure_type	resolved
ussr	prefers_relation	conferences
ussr	prefers_relation	reldiplomacy
ussr	corrects_failure	burma
ussr	penalizes_entity	usa
ussr	failure_type	resolved
indonesia	prefers_relation	duration
indonesia	prefers_relation	officialvisits
indonesia	prefers_relation	students
indonesia	prefers_relation	violentactions
indonesia	corrects_failure	china
indonesia	penalizes_entity	usa
indonesia	failure_type	resolved
uk	prefers_relation	commonbloc0
uk	prefers_relation	conferences
uk	prefers_relation	unweightedunvote
uk	corrects_failure	cuba
uk	penalizes_entity	usa
uk	failure_type	resolved
cuba	prefers_relation	commonbloc2
cuba	prefers_relation	embassy
cuba	prefers_relation	independence
cuba	prefers_relation	relexports
cuba	corrects_failure	china
cuba	penalizes_entity	uk
cuba	failure_type	resolved
jordan	corrects_failure	indonesia
jordan	penalizes_entity	india
jordan	failure_type	structural_gap
china	prefers_relation	accusation
china	corrects_failure	india
china	penalizes_entity	poland
china	failure_type	resolved
india	corrects_failure	brazil
india	penalizes_entity	usa
india	failure_type	both_failed
cuba	prefers_relation	boycottembargo
cuba	prefers_relation	commonbloc0
cuba	prefers_relation	exports3
cuba	prefers_relation	intergovorgs
cuba	prefers_relation	reldiplomacy
cuba	prefers_relation	timesinceally
cuba	prefers_relation	treaties
cuba	prefers_relation	unweightedunvote
cuba	prefers_relation	weightedunvote
cuba	corrects_failure	uk
cuba	penalizes_entity	india
cuba	failure_type	resolved
ussr	prefers_relation	accusation
ussr	prefers_relation	commonbloc2
ussr	prefers_relation	negativecomm
ussr	corrects_failure	china
ussr	penalizes_entity	uk
ussr	failure_type	resolved
indonesia	corrects_failure	burma
indonesia	penalizes_entity	usa
indonesia	failure_type	both_failed
uk	prefers_relation	commonbloc2
uk	prefers_relation	eemigrants
uk	prefers_relation	emigrants3
uk	prefers_relation	militaryalliance
uk	prefers_relation	ngoorgs3
uk	prefers_relation	nonviolentbehavior
uk	prefers_relation	officialvisits
uk	prefers_relation	relemigrants
uk	prefers_relation	relexports
uk	prefers_relation	relintergovorgs
uk	prefers_relation	reltreaties
uk	prefers_relation	students
uk	prefers_relation	tourism3
uk	corrects_failure	usa
uk	penalizes_entity	egypt
uk	failure_type	resolved
china	corrects_failure	brazil
china	penalizes_entity	usa
china	failure_type	structural_gap
israel	prefers_relation	embassy
israel	prefers_relation	unweightedunvote
israel	corrects_failure	ussr
israel	penalizes_entity	usa
israel	failure_type	resolved
china	prefers_relation	accusation
china	prefers_relation	boycottembargo
china	prefers_relation	commonbloc2
china	prefers_relation	embassy
china	prefers_relation	tourism
china	corrects_failure	ussr
china	penalizes_entity	uk
china	failure_type	resolved
burma	prefers_relation	reldiplomacy
burma	corrects_failure	israel
burma	penalizes_entity	netherlands
burma	failure_type	resolved
uk	prefers_relation	blockpositionindex
uk	prefers_relation	commonbloc0
uk	prefers_relation	conferences
uk	prefers_relation	timesinceally
uk	prefers_relation	unweightedunvote
uk	corrects_failure	poland
uk	penalizes_entity	usa
uk	failure_type	resolved
china	prefers_relation	accusation
china	prefers_relation	aidenemy
china	prefers_relation	blockpositionindex
china	prefers_relation	booktranslations
china	prefers_relation	commonbloc0
china	corrects_failure	usa
china	penalizes_entity	poland
china	failure_type	similarity_confusion
jordan	corrects_failure	poland
jordan	penalizes_entity	uk
jordan	failure_type	both_failed
brazil	prefers_relation	blockpositionindex
brazil	prefers_relation	commonbloc0
brazil	prefers_relation	reltreaties
brazil	corrects_failure	poland
brazil	penalizes_entity	usa
brazil	failure_type	resolved
